sym,date,net_pct,cum_net_pct
000037.SZ,2025-12-11,0.3109,269.4883
603334.SH,2025-12-11,0.4421,269.9304
600689.SH,2025-12-11,0.1701,270.1005
301203.SZ,2025-12-11,0.4886,270.5891
300557.SZ,2025-12-11,0.4323,271.0214
688347.SH,2025-12-11,0.3905,271.4119
300604.SZ,2025-12-11,1.24,272.6519
601128.SH,2025-12-11,0.102,272.7539
688578.SH,2025-12-11,0.5673,273.3212
300568.SZ,2025-12-11,0.632,273.9532
300938.SZ,2025-12-11,0.3585,274.3117
603938.SH,2025-12-11,1.3497,275.6614
301137.SZ,2025-12-11,2.0928,277.7542
002443.SZ,2025-12-11,0.8296,278.5838
002932.SZ,2025-12-11,0.1274,278.7112
603337.SH,2025-12-11,0.4182,279.1294
603175.SH,2025-12-11,0.5044,279.6338
002008.SZ,2025-12-11,0.7271,280.3609
001311.SZ,2025-12-11,0.9297,281.2906
600624.SH,2025-12-11,0.4863,281.7769
300197.SZ,2025-12-11,0.9909,282.7678
300518.SZ,2025-12-11,1.1838,283.9516
300889.SZ,2025-12-11,0.7369,284.6885
920725.BJ,2025-12-11,1.1085,285.797
603113.SH,2025-12-11,0.7269,286.5239
300557.SZ,2025-12-11,0.7032,287.2271
603334.SH,2025-12-11,0.5793,287.8064
920640.BJ,2025-12-11,1.0633,288.8697
600528.SH,2025-12-11,0.0855,288.9552
300003.SZ,2025-12-11,0.2809,289.2361
601088.SH,2025-12-11,0.2323,289.4684
301137.SZ,2025-12-11,1.8552,291.3236
002149.SZ,2025-12-11,0.9854,292.309
300146.SZ,2025-12-11,0.2166,292.5256
